eff_dt,merchant_nm,cust_no
8/20/2017,CINEMAX,245833
8/19/2017,CINEMAX,1308420.2
8/12/2017,CINEMAX,1501256.6
8/14/2017,CINEMAX,1533784.8
8/15/2017,CINEMAX,3287058.4
8/26/2017,CINEMAX,1768540.4
8/15/2017,CINEMAX,675239.4
8/27/2017,CINEMAX,1715640.2
8/27/2017,CINEMAX,1739390
8/27/2017,CINEMAX,2801005
8/25/2017,CINEMAX,2494808.6
8/26/2017,CINEMAX,3185259.4
8/21/2017,CINEMAX,1693890
8/6/2017,CINEMAX,2362090.2
8/27/2017,CINEMAX,121902.8
8/27/2017,CINEMAX,1895918
8/27/2017,CINEMAX,2148553
8/26/2017,CINEMAX,651351.2
8/12/2017,CINEMAX,2277591
8/22/2017,CINEMAX,1365905.6
8/6/2017,CINEMAX,487644.8
8/5/2017,CINEMAX,3859734.4
8/31/2017,CINEMAX,1529624.6
8/30/2017,CINEMAX,2536619.2
8/4/2017,CINEMAX,3214802.8
8/20/2017,CINEMAX,1287164
8/30/2017,CINEMAX,1488730.6
8/21/2017,CINEMAX,900610.2
8/19/2017,CINEMAX,149442.2
8/17/2017,CINEMAX,1787069
8/20/2017,CINEMAX,3156180
8/20/2017,CINEMAX,3156180
8/26/2017,CINEMAX,1319322.2
8/26/2017,CINEMAX,1829932.8
8/30/2017,CINEMAX,2536619.2
8/20/2017,CINEMAX,1863140.4
8/20/2017,CINEMAX,1863140.4
8/27/2017,CINEMAX,2065892.2
8/3/2017,CINEMAX,2797791.6
8/19/2017,CINEMAX,2064268.4
8/27/2017,CINEMAX,2065892.2
8/27/2017,CINEMAX,172504.2
8/26/2017,CINEMAX,1095430.6
8/26/2017,CINEMAX,781648.4
8/26/2017,CINEMAX,3040523.8
8/26/2017,CINEMAX,3107060.2
8/26/2017,CINEMAX,1584992.4
8/27/2017,CINEMAX,735092
8/19/2017,CINEMAX,1262371.4
8/19/2017,CINEMAX,3588955
8/19/2017,CINEMAX,1213195
8/19/2017,CINEMAX,722385.8
8/20/2017,CINEMAX,3302585.4
8/20/2017,CINEMAX,1650040
8/17/2017,CINEMAX,3307950.8
8/17/2017,CINEMAX,581145
8/19/2017,CINEMAX,1766623.8
8/19/2017,CINEMAX,76410.4
8/12/2017,CINEMAX,2987574.6
8/16/2017,CINEMAX,1869278
8/17/2017,CINEMAX,106938
8/16/2017,CINEMAX,1932429
8/26/2017,CINEMAX,2402431.8
8/18/2017,CINEMAX,3233963.2
8/17/2017,CINEMAX,494822.8
8/18/2017,CINEMAX,1612326.6
8/16/2017,CINEMAX,2440083.8
8/13/2017,CINEMAX,2616412.6
8/17/2017,CINEMAX,1504011
8/27/2017,CINEMAX,358355.2
8/26/2017,CINEMAX,1027823.4
8/26/2017,CINEMAX,1347504
8/26/2017,CINEMAX,1584372.8
8/26/2017,CINEMAX,1728501.8
8/27/2017,CINEMAX,452605.8
8/27/2017,CINEMAX,58945.8
8/27/2017,CINEMAX,1895918
8/15/2017,CINEMAX,3675026.8
8/16/2017,CINEMAX,1096629.4
8/16/2017,CINEMAX,2793347.6
8/16/2017,CINEMAX,2785305.2
8/16/2017,CINEMAX,2785305.2
8/16/2017,CINEMAX,2785305.2
8/27/2017,CINEMAX,1021319.4
8/20/2017,CINEMAX,2081169.8
8/1/2017,CINEMAX,825904.8
8/13/2017,CINEMAX,1313846
8/17/2017,CINEMAX,2408061.2
8/17/2017,CINEMAX,2408061.2
8/16/2017,CINEMAX,149693.6
8/29/2017,CINEMAX,1708140.6
8/29/2017,CINEMAX,2018530.6
8/29/2017,CINEMAX,713083.2
8/8/2017,CINEMAX,691997.4
8/8/2017,CINEMAX,2176007
8/8/2017,CINEMAX,2176007
8/28/2017,CINEMAX,1708140.6
8/14/2017,CINEMAX,819181.8
8/13/2017,CINEMAX,2394098
8/13/2017,CINEMAX,2394098
8/13/2017,CINEMAX,1389455.8
8/12/2017,CINEMAX,1878377.2
8/12/2017,CINEMAX,3370487.8
8/14/2017,CINEMAX,1113825.2
8/12/2017,CINEMAX,3269699.2
8/13/2017,CINEMAX,1942647.2
8/12/2017,CINEMAX,814025.8
8/11/2017,CINEMAX,994487
8/13/2017,CINEMAX,2018530.6
8/13/2017,CINEMAX,2834395
8/12/2017,CINEMAX,3384666.4
8/13/2017,CINEMAX,70599.8
8/13/2017,CINEMAX,1942647.2
8/13/2017,CINEMAX,2834395
8/14/2017,CINEMAX,1683198
8/12/2017,CINEMAX,283990.6
8/14/2017,CINEMAX,2607541
8/30/2017,CINEMAX,1207730.4
8/29/2017,CINEMAX,1023687.4
8/30/2017,CINEMAX,1742418.4
8/30/2017,CINEMAX,553846.2
8/31/2017,CINEMAX,1770168.6
8/31/2017,CINEMAX,2030038.4
8/30/2017,CINEMAX,591531.6
